"","FIPS","impact","obama2008","romney2012","storm"
"1963","38015",0,0.3729041557,0.64,0
"1964","38017",0,0.5268862435,0.5,0
"1965","38019",0,0.4376470588,0.58,0
"1966","38021",0,0.3986953185,0.63,0
"1967","38023",0,0.4090505768,0.63,0
"1968","38025",0,0.3205362584,0.74,0
"1969","38027",0,0.5,0.55,0
"1970","38029",0,0.297489083,0.76,0
"1971","38031",0,0.4163636364,0.61,0
"1972","38033",0,0.2396788991,0.8,0
"1973","38035",0,0.5160803698,0.5,0
"1974","38037",0,0.3057034221,0.73,0
"1975","38039",0,0.4546839299,0.57,0
"1976","38041",0,0.3014105419,0.73,0
"1977","38043",0,0.3436734694,0.66,0
"1978","38045",0,0.3878462913,0.63,0
"1979","38047",0,0.2831439394,0.76,0
"1980","38049",0,0.4064703443,0.62,0
"1981","38051",0,0.3784313725,0.68,0
"1982","38053",0,0.3446745562,0.71,0
"1983","38055",0,0.3934773401,0.64,0
"1984","38057",0,0.3352311546,0.71,0
"1985","38059",0,0.3830992297,0.64,0
"1986","38061",0,0.5030674847,0.57,0
"1987","38063",0,0.5177548683,0.51,0
"1988","38065",0,0.3198458574,0.68,0
"1989","38067",0,0.4523592085,0.58,0
"1990","38069",0,0.3706130089,0.67,0
"1991","38071",0,0.4859125315,0.53,0
"1992","38073",0,0.56430338,0.42,0
"1993","38075",0,0.3760238273,0.67,0
"1994","38077",0,0.4647775424,0.56,0
"1995","38079",0,0.7510483337,0.24,0
"1996","38081",0,0.5791666667,0.44,0
"1997","38083",0,0.2855345912,0.78,0
"1998","38085",0,0.8313953488,0.2,0
"1999","38087",0,0.2579075426,0.78,0
"2000","38089",0,0.3431310482,0.73,0
"2001","38091",0,0.5941747573,0.48,0
"2002","38093",0,0.4144365836,0.59,0
"2003","38095",0,0.5183946488,0.53,0
"2004","38097",0,0.5292513634,0.51,0
"2005","38099",0,0.4766105868,0.55,0
"2006","38101",0,0.3958479944,0.64,0
"2007","38103",0,0.3535353535,0.7,0
"2008","38105",0,0.3117980533,0.73,0
"2009","39001",0,0.3652716261,0.62,0
"2010","39003",0,0.3814905174,0.62,0
"2011","39005",1,0.3683437385,0.64,0
"2012","39007",4,0.5416405901,0.43,0
"2013","39009",1,0.6648254911,0.31,0
"2014","39011",0,0.2849993415,0.74,0
"2015","39013",1,0.5030049401,0.53,0
"2016","39015",0,0.3723023422,0.62,0
"2017","39017",0,0.3771256846,0.62,0
"2018","39019",1,0.4598992921,0.55,0
"2019","39021",0,0.3885301937,0.6,0
"2020","39023",0,0.4693236209,0.5,0
"2021","39025",0,0.3286421854,0.67,0
"2022","39027",0,0.3364470929,0.67,0
"2023","39029",1,0.4505732484,0.55,0
"2024","39031",1,0.4552005765,0.53,0
"2025","39033",1,0.3895695124,0.6,0
"2026","39035",4,0.685007496,0.3,0
"2027","39037",0,0.2961668322,0.72,0
"2028","39039",0,0.4334623051,0.56,0
"2029","39041",1,0.3962330887,0.61,0
"2030","39043",1,0.5569806981,0.44,0
"2031","39045",1,0.4053242651,0.57,0
"2032","39047",0,0.3711659153,0.6,0
"2033","39049",1,0.5899575852,0.38,0
"2034","39051",0,0.4495657047,0.56,0
"2035","39053",1,0.3563103049,0.62,0
"2036","39055",4,0.4159948533,0.6,0
"2037","39057",0,0.4037998394,0.6,0
"2038","39059",1,0.4383178682,0.54,0
"2039","39061",0,0.5210059711,0.47,0
"2040","39063",0,0.3717920169,0.63,0
"2041","39065",0,0.380455259,0.6,0
"2042","39067",1,0.4697580645,0.56,0
"2043","39069",0,0.4242445102,0.58,0
"2044","39071",0,0.3530605529,0.64,0
"2045","39073",1,0.4822037257,0.49,0
"2046","39075",1,0.2817340299,0.75,0
"2047","39077",1,0.4752122156,0.53,0
"2048","39079",1,0.3838292756,0.59,0
"2049","39081",1,0.4903581267,0.52,0
"2050","39083",1,0.3896453797,0.61,0
"2051","39085",4,0.4931410672,0.5,0
"2052","39087",1,0.413231245,0.57,0
"2053","39089",1,0.3857547078,0.56,0
"2054","39091",0,0.3547139929,0.65,0
"2055","39093",4,0.5753042371,0.42,0
"2056","39095",1,0.6454887794,0.34,0
"2057","39097",0,0.3714388532,0.59,0
"2058","39099",1,0.6199236827,0.35,0
"2059","39101",1,0.436627907,0.53,0
"2060","39103",1,0.4296461799,0.56,0
"2061","39105",1,0.3942298192,0.58,0
"2062","39107",0,0.2726393189,0.77,0
"2063","39109",0,0.3189959899,0.67,0
"2064","39111",1,0.5324026451,0.52,0
"2065","39113",0,0.5179401121,0.48,0
"2066","39115",1,0.4489701814,0.52,0
"2067","39117",1,0.3695894828,0.61,0
"2068","39119",1,0.4509459672,0.52,0
"2069","39121",1,0.4000992392,0.61,0
"2070","39123",1,0.5209763877,0.47,0
"2071","39125",0,0.4244619423,0.59,0
"2072","39127",1,0.4711792702,0.51,0
"2073","39129",1,0.3790593763,0.58,0
"2074","39131",1,0.4805569287,0.49,0
"2075","39133",1,0.5333068007,0.47,0
"2076","39135",0,0.3320399651,0.67,0
"2077","39137",0,0.2817354336,0.75,0
"2078","39139",1,0.4193526277,0.59,0
"2079","39141",1,0.4505087882,0.5,0
"2080","39143",1,0.5100827563,0.48,0
"2081","39145",1,0.458215903,0.5,0
"2082","39147",1,0.4746677586,0.53,0
"2083","39149",0,0.3056006494,0.72,0
"2084","39151",1,0.5022813173,0.49,0
"2085","39153",4,0.5771417935,0.42,0
"2086","39155",1,0.5980498583,0.38,0
"2087","39157",1,0.5005254359,0.54,0
"2088","39159",0,0.3506973618,0.64,0
"2089","39161",0,0.3518828452,0.67,0
"2090","39163",1,0.4352941176,0.52,0
"2091","39165",0,0.3136548169,0.69,0
"2092","39167",1,0.4129892326,0.61,0
"2093","39169",1,0.4151091566,0.6,0
"2094","39171",0,0.4421783953,0.57,0
"2095","39173",0,0.524584945,0.47,0
"2096","39175",1,0.4041133963,0.59,0
"2097","40001",0,0.3065071055,0.67,0
"2098","40003",0,0.1688578472,0.85,0
"2099","40005",0,0.2807952449,0.74,0
"2100","40007",0,0.1076360682,0.89,0
"2101","40009",0,0.2197727887,0.8,0
"2102","40011",0,0.2459255656,0.74,0
"2103","40013",0,0.3224230937,0.72,0
"2104","40015",0,0.3465700286,0.64,0
"2105","40017",0,0.2387891205,0.77,0
"2106","40019",0,0.2973360221,0.71,0
"2107","40021",0,0.4392671756,0.57,0
"2108","40023",0,0.3326771654,0.71,0
"2109","40025",0,0.1195908733,0.9,0
"2110","40027",0,0.379998659,0.63,0
"2111","40029",0,0.2615878844,0.72,0
"2112","40031",0,0.4122988875,0.59,0
"2113","40033",0,0.2778896496,0.73,0
"2114","40035",0,0.3494097808,0.67,0
"2115","40037",0,0.2918698902,0.73,0
"2116","40039",0,0.2532850886,0.76,0
"2117","40041",0,0.3310326865,0.71,0
"2118","40043",0,0.1570585565,0.86,0
"2119","40045",0,0.1477213201,0.87,0
"2120","40047",0,0.2452346203,0.76,0
"2121","40049",0,0.2820417288,0.73,0
"2122","40051",0,0.2664348162,0.76,0
"2123","40053",0,0.2187234043,0.81,0
"2124","40055",0,0.2677388836,0.73,0
"2125","40057",0,0.3055045872,0.71,0
"2126","40059",0,0.1413947537,0.88,0
"2127","40061",0,0.314957265,0.72,0
"2128","40063",0,0.3524912136,0.67,0
"2129","40065",0,0.2520325203,0.75,0
"2130","40067",0,0.3280358598,0.73,0
"2131","40069",0,0.3152036428,0.7,0
"2132","40071",0,0.2922262051,0.71,0
"2133","40073",0,0.1581256856,0.84,0
"2134","40075",0,0.3258904838,0.68,0
"2135","40077",0,0.3148681055,0.69,0
"2136","40079",0,0.3068283649,0.71,0
"2137","40081",0,0.2507336626,0.74,0
"2138","40083",0,0.3128454929,0.72,0
"2139","40085",0,0.3268330733,0.7,0
"2140","40087",0,0.240939324,0.78,0
"2141","40089",0,0.2649962035,0.76,0
"2142","40091",0,0.4036005352,0.62,0
"2143","40093",0,0.1484149856,0.86,0
"2144","40095",0,0.3057158816,0.73,0
"2145","40097",0,0.3597622028,0.67,0
"2146","40099",0,0.2982390408,0.7,0
"2147","40101",0,0.4248927039,0.57,0
"2148","40103",0,0.2322453017,0.75,0
"2149","40105",0,0.3177927928,0.69,0
"2150","40107",0,0.3587378641,0.65,0
"2151","40109",0,0.4159014726,0.58,0
"2152","40111",0,0.4149285762,0.59,0
"2153","40113",0,0.3814590439,0.63,0
"2154","40115",0,0.381915846,0.65,0
"2155","40117",0,0.3127653123,0.7,0
"2156","40119",0,0.3650984984,0.64,0
"2157","40121",0,0.3172221253,0.69,0
"2158","40123",0,0.3163394109,0.69,0
"2159","40125",0,0.3084185067,0.69,0
"2160","40127",0,0.2828079589,0.75,0
"2161","40129",0,0.1599552573,0.84,0
"2162","40131",0,0.2797257285,0.75,0
"2163","40133",0,0.3471315299,0.65,0
"2164","40135",0,0.3199942525,0.7,0
"2165","40137",0,0.2397253038,0.77,0
"2166","40139",0,0.1475619504,0.85,0
"2167","40141",0,0.3219029966,0.67,0
"2168","40143",0,0.3777335828,0.64,0
"2169","40145",0,0.2912573186,0.73,0
"2170","40147",0,0.2770920272,0.74,0
"2171","40149",0,0.2203105329,0.81,0
"2172","40151",0,0.2223358037,0.8,0
"2173","40153",0,0.1739354839,0.84,0
"2174","41001",0,0.322264499,0.68,0
"2175","41003",0,0.647768555,0.33,0
"2176","41005",0,0.5458833914,0.47,0
"2177","41007",0,0.5821273318,0.41,0
"2178","41009",0,0.5453460621,0.45,0
"2179","41011",0,0.4695469053,0.51,0
"2180","41013",0,0.3537049692,0.66,0
"2181","41015",0,0.4282430213,0.57,0
"2182","41017",0,0.4892673408,0.52,0
"2183","41019",0,0.3915567822,0.62,0
"2184","41021",0,0.3910665451,0.6,0
"2185","41023",0,0.2625937835,0.75,0
"2186","41025",0,0.2592491093,0.73,0
"2187","41027",0,0.6437577511,0.35,0
"2188","41029",0,0.4889016535,0.51,0
"2189","41031",0,0.4456933415,0.57,0
"2190","41033",0,0.4178234047,0.59,0
"2191","41035",0,0.3198470068,0.67,0
"2192","41037",0,0.260371179,0.76,0
"2193","41039",0,0.6286795372,0.36,0
"2194","41041",0,0.6019446715,0.38,0
"2195","41043",0,0.42941095,0.57,0
"2196","41045",0,0.2844626168,0.69,0
"2197","41047",0,0.5002383801,0.5,0
"2198","41049",0,0.3488894435,0.65,0
"2199","41051",0,0.7721142797,0.21,0
"2200","41053",0,0.4869590059,0.51,0
"2201","41055",0,0.3694390716,0.66,0
"2202","41057",0,0.5356842989,0.46,0
"2203","41059",0,0.3744721536,0.62,0
"2204","41061",0,0.3700256739,0.63,0
"2205","41063",0,0.3373330315,0.67,0
"2206","41065",0,0.5222335213,0.48,0
"2207","41067",0,0.6045604998,0.4,0
"2208","41069",0,0.3454317897,0.64,0
"2209","41071",0,0.481724373,0.51,0
"2210","42001",4,0.3961147883,0.63,0
"2211","42003",1,0.5719969821,0.42,0
"2212","42005",1,0.3720696352,0.68,0
"2213","42007",1,0.4778211988,0.53,0
"2214","42009",1,0.2704737008,0.77,0
"2215","42011",4,0.540027177,0.5,0
"2216","42013",4,0.3747831808,0.66,0
"2217","42015",1,0.3995770014,0.61,0
"2218","42017",3,0.5374281676,0.49,3.901
"2219","42019",1,0.3592666066,0.67,0
"2220","42021",4,0.4962815663,0.58,0
"2221","42023",1,0.3730232558,0.64,0
"2222","42025",1,0.5018199742,0.53,0
"2223","42027",1,0.5522726663,0.49,0
"2224","42029",3,0.5417550217,0.5,0
"2225","42031",1,0.3822320205,0.67,0
"2226","42033",1,0.4304310523,0.64,0
"2227","42035",1,0.481993478,0.55,0
"2228","42037",1,0.4729491271,0.56,0
"2229","42039",1,0.4418899501,0.59,0
"2230","42041",4,0.4269188049,0.59,0
"2231","42043",4,0.5391755944,0.46,0
"2232","42045",3,0.6030819272,0.39,5.2
"2233","42047",1,0.5136019028,0.57,0
"2234","42049",1,0.5935340415,0.41,0
"2235","42051",4,0.4925943806,0.54,0
"2236","42053",1,0.4190082645,0.6,0
"2237","42055",4,0.3324542425,0.69,0
"2238","42057",4,0.2494410731,0.78,0
"2239","42059",4,0.4890762999,0.58,0
"2240","42061",4,0.3554301075,0.68,0
"2241","42063",4,0.4573986195,0.59,0
"2242","42065",1,0.3471467391,0.72,0
"2243","42067",4,0.3156970135,0.72,0
"2244","42069",1,0.626231711,0.36,0
"2245","42071",4,0.4348972768,0.59,0
"2246","42073",1,0.4680229046,0.54,0
"2247","42075",4,0.4003857561,0.63,0
"2248","42077",4,0.571460762,0.46,0
"2249","42079",4,0.5367537829,0.47,0
"2250","42081",1,0.3732391499,0.66,0
"2251","42083",1,0.405108055,0.63,0
"2252","42085",1,0.4918394175,0.51,0
"2253","42087",1,0.3257819617,0.73,0
"2254","42089",4,0.5801126832,0.43,0
"2255","42091",3,0.5997586475,0.42,0
"2256","42093",1,0.4190559659,0.59,0
"2257","42095",4,0.554888476,0.47,0
"2258","42097",4,0.4218010953,0.59,0
"2259","42099",4,0.323962245,0.69,0
"2260","42101",3,0.8306292458,0.14,4.8
"2261","42103",1,0.4732534105,0.55,0
"2262","42105",1,0.3057196563,0.72,0
"2263","42107",4,0.4484376989,0.56,0
"2264","42109",1,0.3475140622,0.67,0
"2265","42111",4,0.3663220524,0.71,0
"2266","42113",1,0.3943481053,0.63,0
"2267","42115",1,0.4345144768,0.6,0
"2268","42117",1,0.3577932512,0.66,0
"2269","42119",1,0.4207238762,0.61,0
"2270","42121",1,0.3984078327,0.62,0
"2271","42123",1,0.4611170213,0.58,0
"2272","42125",1,0.4702921406,0.56,0
"2273","42127",1,0.4331378687,0.6,0
"2274","42129",4,0.4118166627,0.61,0
"2275","42131",1,0.4583265505,0.55,0
"2276","42133",4,0.4275724276,0.6,0
"2277","44001",3,0.626185567,0.37,3.1
"2278","44003",4,0.5767019059,0.4,3.199
"2279","44005",3,0.6085271318,0.39,3.199
"2280","44007",3,0.6685298711,0.32,3.199
"2281","44009",3,0.589951562,0.4,3.199
"2282","45001",0,0.4186598503,0.56,0
"2283","45003",0,0.3738309689,0.63,0
"2284","45005",0,0.7514321295,0.2,0
"2285","45007",0,0.3254189562,0.67,0
"2286","45009",0,0.6485928982,0.32,0
"2287","45011",0,0.5030123558,0.47,0
"2288","45013",0,0.441373997,0.58,0.4
"2289","45015",0,0.4282926829,0.56,0.4
"2290","45017",0,0.5129399586,0.47,0
"2291","45019",0,0.5352972175,0.48,0.4
"2292","45021",0,0.3473409651,0.64,0
"2293","45023",0,0.5339630805,0.44,0
"2294","45025",0,0.4793641088,0.51,0
"2295","45027",0,0.5689455388,0.43,0
"2296","45029",0,0.4969865554,0.49,0.4
"2297","45031",0,0.4941622286,0.48,0
"2298","45033",0,0.5521097361,0.42,0
"2299","45035",0,0.4159826634,0.57,0.801
"2300","45037",0,0.4404689535,0.56,0
"2301","45039",0,0.6533264481,0.34,0
"2302","45041",0,0.4852186973,0.5,0
"2303","45043",0,0.4677317357,0.53,0.4
"2304","45045",0,0.3720104516,0.63,0
"2305","45047",0,0.416377019,0.57,0
"2306","45049",0,0.6219629669,0.36,0
"2307","45051",0,0.3706390461,0.64,1.601
"2308","45053",0,0.6033218786,0.42,0.4
"2309","45055",0,0.400870128,0.58,0
"2310","45057",0,0.4195675563,0.58,0
"2311","45059",0,0.4024915235,0.58,0
"2312","45061",0,0.651147541,0.32,0
"2313","45063",0,0.3066184477,0.68,0
"2314","45065",0,0.5259429447,0.48,0
"2315","45067",0,0.6326395771,0.34,0
"2316","45069",0,0.6242079761,0.37,0
"2317","45071",0,0.4054922405,0.57,0
"2318","45073",0,0.3044763649,0.7,0
"2319","45075",0,0.6849989844,0.28,0
"2320","45077",0,0.2590754301,0.73,0
"2321","45079",0,0.639403308,0.33,0
"2322","45081",0,0.3862230006,0.6,0
"2323","45083",0,0.3859743597,0.61,0
"2324","45085",0,0.5817048995,0.41,0
"2325","45087",0,0.4376246399,0.52,0
"2326","45089",0,0.6872824959,0.3,0
"2327","45091",0,0.4045537557,0.59,0
"2328","46003",0,0.4381270903,0.57,0
"2329","46005",0,0.4528130672,0.58,0
"2330","46007",0,0.4610927152,0.52,0
"2331","46009",0,0.4305511811,0.6,0
"2332","46011",0,0.5168160631,0.5,0
"2333","46013",0,0.5188224492,0.52,0
"2334","46015",0,0.3956539565,0.63,0
"2335","46017",0,0.7334410339,0.26,0
"2336","46019",0,0.3068609023,0.73,0
"2337","46021",0,0.2845433255,0.78,0
"2338","46023",0,0.454248366,0.59,0
"2339","46025",0,0.4278350515,0.59,0
"2340","46027",0,0.6100608779,0.41,0
"2341","46029",0,0.459171112,0.58,0
"2342","46031",0,0.5953058321,0.43,0
"2343","46033",0,0.3272686931,0.68,0
"2344","46035",0,0.4203429923,0.6,0
"2345","46037",0,0.5569422777,0.46,0
"2346","46039",0,0.4752028855,0.54,0
"2347","46041",0,0.6577380952,0.35,0
"2348","46043",0,0.2414578588,0.79,0
"2349","46045",0,0.3945086705,0.65,0
"2350","46047",0,0.3512733001,0.64,0
"2351","46049",0,0.3573825503,0.68,0
"2352","46051",0,0.4663185379,0.56,0
"2353","46053",0,0.3431241656,0.7,0
"2354","46055",0,0.1615986099,0.86,0
"2355","46057",0,0.3742375314,0.65,0
"2356","46059",0,0.3570363003,0.67,0
"2357","46061",0,0.3953105718,0.67,0
"2358","46063",0,0.1839237057,0.86,0
"2359","46065",0,0.358644308,0.64,0
"2360","46067",0,0.3442350333,0.72,0
"2361","46069",0,0.2878980892,0.72,0
"2362","46071",0,0.3839364519,0.6,0
"2363","46073",0,0.4921803128,0.53,0
"2364","46075",0,0.2344497608,0.8,0
"2365","46077",0,0.4586925287,0.56,0
"2366","46079",0,0.4926100374,0.54,0
"2367","46081",0,0.4091248445,0.62,0
"2368","46083",0,0.4161409929,0.62,0
"2369","46085",0,0.4326630104,0.59,0
"2370","46087",0,0.4139219015,0.63,0
"2371","46089",0,0.3207272727,0.76,0
"2372","46091",0,0.5755362848,0.45,0
"2373","46093",0,0.3230782489,0.7,0
"2374","46095",0,0.4424673784,0.5,0
"2375","46097",0,0.4967159278,0.56,0
"2376","46099",0,0.4945799963,0.53,0
"2377","46101",0,0.5110633067,0.51,0
"2378","46103",0,0.3845505254,0.63,0
"2379","46105",0,0.2959667853,0.76,0
"2380","46107",0,0.3347222222,0.75,0
"2381","46109",0,0.5890652557,0.44,0
"2382","46111",0,0.4142502071,0.62,0
"2383","46113",0,0.8869955157,0.06,0
"2384","46115",0,0.4741511165,0.55,0
"2385","46117",0,0.3283966516,0.69,0
"2386","46119",0,0.2797118848,0.75,0
"2387","46121",0,0.7807637907,0.2,0
"2388","46123",0,0.3219443466,0.71,0
"2389","46125",0,0.3862591912,0.64,0
"2390","46127",0,0.4212439943,0.62,0
"2391","46129",0,0.3483018868,0.7,0
"2392","46135",0,0.4774028024,0.55,0
"2393","46137",0,0.6217732884,0.41,0
"2394","47001",0,0.3614629965,0.64,0
"2395","47003",0,0.3241744066,0.69,0
"2396","47005",0,0.4082136792,0.62,0
"2397","47007",0,0.3170986622,0.69,0
"2398","47009",1,0.295432534,0.72,0
"2399","47011",0,0.2449840222,0.76,0
"2400","47013",0,0.3637903453,0.71,0
"2401","47015",0,0.3685368537,0.67,0
"2402","47017",0,0.3417775869,0.67,0
"2403","47019",1,0.2566847377,0.75,0
"2404","47021",0,0.3347338936,0.68,0
"2405","47023",0,0.2779240899,0.73,0
"2406","47025",0,0.2954218255,0.75,0
"2407","47027",0,0.4169729369,0.62,0
"2408","47029",1,0.267633857,0.74,0
"2409","47031",0,0.3431046931,0.68,0
"2410","47033",0,0.322569198,0.69,0
"2411","47035",0,0.3068217175,0.74,0
